item_id,actual_id,title,category,recipes
86,5cbf3d2da29e122e4c79a9ab,Mâm 64,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt kho trứng', 'hoa bí xào tỏi', 'nộm hoa chuối', 'canh cải nấu thịt băm']"
87,5cbf3d5ca29e122e4c79a9d7,Mâm 108,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Mực xào ớt chuông', 'đậu rán', 'đỗ luộc', 'canh ngao chua']"
88,5cbf3d50a29e122e4c79a9c1,Mâm 86,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt lợn rang', 'giá xào lòng mề gà', 'canh khoai sọ hầm xương', 'dưa chuột chẻ']"
89,5cbf3d5ca29e122e4c79a9d3,Mâm 104,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá rô nướng', 'lạc rang', 'canh khoai tây nấu sườn', 'rau sống']"
90,5cbf3d35a29e122e4c79a9b1,Mâm 70,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Bạch tuộc sa tế', 'rau củ quả luộc', 'nộm rau muống', 'canh cá nấu dứa']"
91,5cbf3d3ea29e122e4c79a9b7,Mâm 76,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt gà rang gừng', 'giò lụa', 'súp lơ luộc', 'canh mướp nấu tôm']"
92,5cbf3d50a29e122e4c79a9c4,Mâm 89,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Nem rán', 'lươn sốt cay', 'canh bóng', 'rau củ quả luộc']"
93,5cbf3d64a29e122e4c79a9db,Mâm 112,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá ba sa chiên', 'mướp đắng xào trứng', 'canh bí đỏ nấu tôm']"
94,5cbf3d42a29e122e4c79a9bd,Mâm 82,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Nem rán', 'cá viên chiên', 'dưa góp', 'canh su hào thái sợi']"
95,5cbf3d60a29e122e4c79a9d8,Mâm 109,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Đậu nhồi thịt sốt cà chua', 'thịt ba chỉ\xa0rang cháy cạnh', 'canh cà bung', 'dưa bắp cải muối']"
96,5cbf3d64a29e122e4c79a9da,Mâm 111,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Chả cá chiên', 'gan luộc', 'canh thịt bò cà chua', 'bắp cải luộc nước mắm trứng']"
97,5cbf3d64a29e122e4c79a9dc,Mâm 113,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt chân giò luộc', 'canh chua đầu cá ba sa', 'dưa chuột chẻ']"
98,5cbf3d29a29e122e4c79a9a9,Mâm 62,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá diếc chiên ròn', 'chả lá lốt', 'bí đao cuốn thịt', 'canh cà bung']"
99,5cbf3d58a29e122e4c79a9c9,Mâm 94,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Đậu sốt cà chua', 'thịt lợn luộc', 'rau muống luộc', 'dưa muối']"
100,5cbf3d2da29e122e4c79a9aa,Mâm 63,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá kho tộ', 'hoa thiên lý xào tỏi', 'canh bầu nấu tôm', 'trứng dầm nước mắm']"
101,5cbf3d39a29e122e4c79a9b3,Mâm 72,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt lợn quay giòn bì', 'sườn nướng', 'mướp luộc', 'măng tươi luộc']"
102,5cbf3d42a29e122e4c79a9bb,Mâm 80,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Trứng chim cút chiên xù', 'thịt kho dừa', 'nộm dưa chuột', 'rau muống luộc']"
103,5cbf3d5ca29e122e4c79a9cb,Mâm 96,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Đậu chiên xù', 'dưa xào thịt bò', 'bắp cải luộc', 'canh ngao chua']"
104,5cbf3d5ca29e122e4c79a9d1,Mâm 102,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Tôm hấp', 'thịt viên xiên nướng', 'đậu phụ tẩm hành', 'canh cua rau đay']"
105,5cbf3d5ca29e122e4c79a9d5,Mâm 106,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt chân giò luộc', 'chả lá lốt', 'canh dọc mùng', 'mắm tép chưng']"
106,5cbf3d2da29e122e4c79a9ac,Mâm 65,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá rô kho tiêu', 'đậu tẩm hành', 'rau củ quả luộc', 'canh cua mồng tơi', 'cà dầm mắm']"
107,5cbf3d31a29e122e4c79a9af,Mâm 68,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cải cuốn thịt', 'trứng tráng', 'canh rau ngót nấu thịt băm', 'cà muối tỏi ớt']"
108,5cbf3d35a29e122e4c79a9b2,Mâm 71,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt chân giò luộc', 'mắm tép chưng', 'canh rau ngót', 'cà pháo']"
109,5cbf3d42a29e122e4c79a9ba,Mâm 79,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Tôm sốt chua ngọt', 'rau củ quả luộc', 'canh rau dền', 'cà muối']"
110,5cbf3d43a29e122e4c79a9bf,Mâm 84,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá sốt cà chua', 'thịt lợn rán', 'canh ngao chua', 'dưa bắp cải muối']"
111,5cbf3d5ca29e122e4c79a9d2,Mâm 103,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Tim xào', 'giò bò', 'canh măng móng giò', 'hành muối']"
112,5cbf3d64a29e122e4c79a9dd,Mâm 114,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Tôm rang', 'rau bí xào tỏi', 'canh cà chua trứng']"
113,5cbf3d64a29e122e4c79a9e3,Mâm 120,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Trứng đúc thịt', 'canh dưa thịt bò', 'nộm hoa chuối']"
114,5cbf3d64a29e122e4c79a9e4,Mâm 121,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Trứng cút kho tàu', 'ngao xào me', 'canh nấm thịt bò']"
115,5cbf3d64a29e122e4c79a9e9,Mâm 126,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt lợn rang cháy cạnh', 'canh bí đỏ thịt nạc', 'ngồng cải luộc']"
116,5cbf3d64a29e122e4c79a9eb,Mâm 128,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá trứng chiên giòn', 'rau muống xào tỏi', 'cà pháo']"
117,5cbf3d64a29e122e4c79a9e5,Mâm 122,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Tôm cuộn khoai tây chiên', 'su su luộc', 'canh rau ngót thịt băm']"
